Identifiant station;Nom station;Station en fonctionnement;Capacité de la station;Nombre bornettes libres;Nombre total vélos disponibles;Vélos mécaniques disponibles;Vélos électriques disponibles;Borne de paiement disponible;Retour vélib possible;Actualisation de la donnée;Coordonnées géographiques;Nom communes équipées;Code INSEE communes équipées;station_opening_hours
16107;Benjamin Godard - Victor Hugo;OUI;0;27;8;0;8;OUI;OUI;2025-04-17T15:39:50+00:00;48.865983, 2.275725;Paris;75056;
44015;Rouget de L'isle - Watteau;OUI;0;12;8;4;4;OUI;OUI;2025-04-17T15:37:57+00:00;48.778192750803, 2.3963020229163;Vitry-sur-Seine;94081;
40001;Hôpital Mondor;OUI;0;23;6;2;4;OUI;OUI;2025-04-17T15:37:02+00:00;48.798922410229, 2.4537451531298;Créteil;94028;
9020;Toudouze - Clauzel;OUI;0;18;2;0;2;OUI;OUI;2025-04-17T15:41:24+00:00;48.87929591733507, 2.3373600840568547;Paris;75056;
13007;Le Brun - Gobelins;OUI;0;37;10;6;4;OUI;OUI;2025-04-17T15:38:07+00:00;48.835092787824, 2.3534681351338;Paris;75056;
14111;Cassini - Denfert-Rochereau;OUI;0;20;4;0;4;OUI;OUI;2025-04-17T15:35:50+00:00;48.837525839067, 2.3360354080796;Paris;75056;
6108;Saint-Romain - Cherche-Midi;OUI;0;14;1;0;1;OUI;OUI;2025-04-17T15:42:23+00:00;48.84708159081946, 2.321374788880348;Paris;75056;
14014;Jourdan - Stade Charléty;OUI;0;54;6;3;3;OUI;OUI;2025-04-17T15:41:09+00:00;48.819428333369, 2.3433353751898;Paris;75056;
42016;Pierre et Marie Curie - Maurice Thorez;OUI;0;23;4;1;3;OUI;OUI;2025-04-17T15:35:20+00:00;48.81580226360801, 2.376804985105991;Ivry-sur-Seine;94041;
32017;Basilique;OUI;22;13;9;7;2;OUI;OUI;2025-04-17T15:38:09+00:00;48.93626891059109, 2.3588666820200914;Saint-Denis;93066;
32304;Charcot - Benfleet;OUI;0;24;3;0;3;NON;NON;2025-04-17T15:39:07+00:00;48.878370277021, 2.440523876268;Romainville;93063;
11104;Charonne - Robert et Sonia Delaunay;OUI;0;17;3;0;3;OUI;OUI;2025-04-17T15:42:37+00:00;48.855907555969, 2.3925706744194;Paris;75056;
7003;Square Boucicaut;OUI;0;10;49;44;5;OUI;OUI;2025-04-17T15:41:19+00:00;48.851296433665276, 2.325061820447445;Paris;75056;
8026;Messine - Place Du Pérou;OUI;0;5;7;6;1;OUI;OUI;2025-04-17T15:41:39+00:00;48.875448033960744, 2.315508019010038;Paris;75056;
17041;Guersant - Gouvion-Saint-Cyr;OUI;0;23;8;7;1;OUI;OUI;2025-04-17T15:40:30+00:00;48.88287775178599, 2.287667370814871;Paris;75056;
6003;Saint-Sulpice;OUI;0;3;16;14;2;OUI;OUI;2025-04-17T15:38:34+00:00;48.85165383178419, 2.3308077827095985;Paris;75056;
5016;Thouin - Cardinal Lemoine;OUI;0;7;7;0;7;OUI;OUI;2025-04-17T15:40:53+00:00;48.84504716661511, 2.3494647851273465;Paris;75056;
7002;Vaneau - Sèvres;OUI;0;27;7;5;2;OUI;OUI;2025-04-17T15:42:01+00:00;48.848563233059, 2.3204218259346;Paris;75056;
11025;Froment - Bréguet;OUI;0;31;10;5;5;OUI;OUI;2025-04-17T15:40:25+00:00;48.8570414504784, 2.37289470306807;Paris;75056;
5110;Lacépède - Monge;OUI;0;7;14;6;8;OUI;OUI;2025-04-17T15:40:57+00:00;48.84389286531899, 2.3519663885235786;Paris;75056;
15202;Bracion - Périphérique;OUI;0;29;1;0;1;OUI;OUI;2025-04-17T15:37:32+00:00;48.826103771275, 2.3004549373748;Paris;75056;
33006;André Karman - République;OUI;0;26;4;3;1;OUI;OUI;2025-04-17T15:38:57+00:00;48.91039875761846, 2.3851355910301213;Aubervilliers;93001;
14108;Le Brix et Mesmin - Jourdan;OUI;0;20;0;0;0;OUI;OUI;2025-04-17T15:37:26+00:00;48.82234096593411, 2.327861653302471;Paris;75056;
40011;Bas du Mont-Mesly;OUI;0;22;5;2;3;OUI;OUI;2025-04-17T15:40:37+00:00;48.779035118572, 2.4609763908985;Créteil;94028;
31024;Romainville - Vaillant-Couturier;OUI;0;37;1;0;1;OUI;OUI;2025-04-17T15:34:58+00:00;48.86785, 2.446748;Montreuil;93048;
